Make,Model,per.Accident.Uninjured,per.A.Minor.Injuries,per.A.Serious.Injuries,per.Accident.Deaths,Aircraft.Accidents,Aircraft.Observations,per.Accident.Severity,Total.Severity,Total.Aircraft.Deaths,Accident.Rate,Mortality.Rate,Survival.Rate,Aircraft
BOEING,777,99.14736842105263,0.24210526315789474,0.0,0.0,23,95,0.24210526315789474,5.568421052631579,0.0,0.24210526315789474,0.0,1.0,BOEING 777
HILLER,UH-12B,1.3636363636363635,0.13636363636363635,0.0,0.0,22,22,0.13636363636363635,3.0,0.0,1.0,0.0,1.0,HILLER UH-12B
AVIAT AIRCRAFT INC,A-1B,1.0454545454545454,0.09090909090909091,0.0,0.0,22,22,0.09090909090909091,2.0,0.0,1.0,0.0,1.0,AVIAT AIRCRAFT INC A-1B
LET,BLANIK L-13,1.1176470588235294,0.17647058823529413,0.0,0.0,34,34,0.17647058823529413,6.0,0.0,1.0,0.0,1.0,LET BLANIK L-13
GRUMMAN,G164B,0.9047619047619048,0.09523809523809523,0.0,0.0,21,21,0.09523809523809523,2.0,0.0,1.0,0.0,1.0,GRUMMAN G164B
EVEKTOR-AEROTECHNIK AS,SPORTSTAR,1.1904761904761905,0.09523809523809523,0.0,0.0,21,21,0.09523809523809523,2.0,0.0,1.0,0.0,1.0,EVEKTOR-AEROTECHNIK AS SPORTSTAR
ROBINSON HELICOPTER,R22,1.2380952380952381,0.047619047619047616,0.0,0.0,21,21,0.047619047619047616,1.0,0.0,1.0,0.0,1.0,ROBINSON HELICOPTER R22
SCHWEIZER,SGS-2-33A,0.9523809523809523,0.2857142857142857,0.0,0.0,21,21,0.2857142857142857,6.0,0.0,1.0,0.0,1.0,SCHWEIZER SGS-2-33A
GRUMMAN-SCHWEIZER,G-164A,0.72,0.24,0.0,0.0,50,50,0.24,12.0,0.0,1.0,0.0,1.0,GRUMMAN-SCHWEIZER G-164A
PIPER,PA 18,1.037037037037037,0.14814814814814814,0.0,0.0,27,27,0.14814814814814814,4.0,0.0,1.0,0.0,1.0,PIPER PA 18
GRUMMAN ACFT ENG COR-SCHWEIZER,G-164B,0.625,0.16666666666666666,0.0,0.0,24,24,0.16666666666666666,4.0,0.0,1.0,0.0,1.0,GRUMMAN ACFT ENG COR-SCHWEIZER G-164B
PIPER,PA 28,1.434782608695652,0.34782608695652173,0.0,0.0,23,23,0.34782608695652173,8.0,0.0,1.0,0.0,1.0,PIPER PA 28
CONSOLIDATED AERONAUTICS INC.,LAKE LA-4-200,0.64,0.4,0.0,0.0,25,25,0.4,10.0,0.0,1.0,0.0,1.0,CONSOLIDATED AERONAUTICS INC. LAKE LA-4-200
BOEING,747,59.2,0.11764705882352941,0.07058823529411765,0.07058823529411765,20,85,0.6823529411764706,13.647058823529413,1.4117647058823528,0.23529411764705882,0.0011871784724970318,0.998812821527503,BOEING 747
SCHWEIZER,SGS 2-33A,1.0714285714285714,0.2857142857142857,0.014285714285714285,0.014285714285714285,70,70,0.4,28.0,1.0,1.0,0.010309278350515464,0.9896907216494846,SCHWEIZER SGS 2-33A
BEECH,C-23,1.1470588235294117,0.5,0.029411764705882353,0.029411764705882353,34,34,0.7352941176470589,25.0,1.0,1.0,0.017241379310344827,0.9827586206896551,BEECH C-23
PIPER,PA-18-160,1.2903225806451613,0.12903225806451613,0.03225806451612903,0.03225806451612903,31,31,0.3870967741935484,12.0,1.0,1.0,0.021739130434782608,0.9782608695652174,PIPER PA-18-160
ENSTROM,F-28C,1.4901960784313726,0.19607843137254902,0.0392156862745098,0.0392156862745098,50,51,0.5098039215686274,25.49019607843137,1.9607843137254901,0.9803921568627451,0.022222222222222227,0.9777777777777777,ENSTROM F-28C
PIPER,PA 28-161,1.75,0.15,0.05,0.05,20,20,0.55,11.0,1.0,1.0,0.025,0.975,PIPER PA 28-161
CESSNA,195B,1.2222222222222223,0.18518518518518517,0.037037037037037035,0.037037037037037035,27,27,0.48148148148148145,13.0,1.0,1.0,0.025,0.975,CESSNA 195B
ENSTROM,F-28A,1.4545454545454546,0.25,0.045454545454545456,0.045454545454545456,41,44,0.6136363636363636,25.15909090909091,1.8636363636363638,0.9318181818181818,0.025316455696202535,0.9746835443037974,ENSTROM F-28A
MAULE,M-4-220C,1.4210526315789473,0.15789473684210525,0.05263157894736842,0.05263157894736842,38,38,0.5789473684210527,22.0,2.0,1.0,0.03125,0.96875,MAULE M-4-220C
HILLER,UH-12C,1.1428571428571428,0.23809523809523808,0.047619047619047616,0.047619047619047616,21,21,0.6190476190476191,13.0,1.0,1.0,0.03225806451612903,0.967741935483871,HILLER UH-12C
BRANTLY HELICOPTER,B-2B,1.35,0.1,0.05,0.05,20,20,0.5,10.0,1.0,1.0,0.03225806451612903,0.967741935483871,BRANTLY HELICOPTER B-2B
BOEING,E75,1.2702702702702702,0.2702702702702703,0.05405405405405406,0.05405405405405406,37,37,0.7027027027027027,26.0,2.0,1.0,0.03278688524590164,0.9672131147540983,BOEING E75
EAGLE AIRCRAFT CO.,DW-1,0.7666666666666667,0.16666666666666666,0.03333333333333333,0.03333333333333333,30,30,0.43333333333333335,13.0,1.0,1.0,0.03333333333333333,0.9666666666666667,EAGLE AIRCRAFT CO. DW-1
CHAMPION,7GCB,1.3,0.1,0.05,0.05,20,20,0.5,10.0,1.0,1.0,0.03333333333333333,0.9666666666666667,CHAMPION 7GCB
WEATHERLY,201B,0.6206896551724138,0.3103448275862069,0.034482758620689655,0.034482758620689655,29,29,0.5862068965517241,17.0,1.0,1.0,0.034482758620689655,0.9655172413793104,WEATHERLY 201B
PIPER,PA-28-150,1.0,0.22727272727272727,0.045454545454545456,0.045454545454545456,22,22,0.5909090909090909,13.0,1.0,1.0,0.034482758620689655,0.9655172413793104,PIPER PA-28-150
PIPER,PA 12,1.3783783783783783,0.05405405405405406,0.05405405405405406,0.05405405405405406,37,37,0.4864864864864865,18.0,2.0,1.0,0.03508771929824561,0.9649122807017544,PIPER PA 12
BOEING,A75N1(PT17),1.34375,0.25,0.0625,0.0625,32,32,0.75,24.0,2.0,1.0,0.03636363636363636,0.9636363636363636,BOEING A75N1(PT17)
BELL,47G-2A,0.8333333333333334,0.20833333333333334,0.041666666666666664,0.041666666666666664,23,24,0.5416666666666666,12.458333333333332,0.9583333333333333,0.9583333333333334,0.037037037037037035,0.962962962962963,BELL 47G-2A
