Aircraft,Make,Event.Date,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
BOEING 737,BOEING,1985-11-03,0.0,0.0,1.0,58.0
BOEING 737,BOEING,1987-08-11,0.0,0.0,0.0,46.0
BOEING 737,BOEING,1987-09-18,0.0,0.0,6.0,74.0
BOEING 737,BOEING,1988-03-10,0.0,0.0,0.0,159.0
BOEING 737,BOEING,1988-03-10,0.0,0.0,0.0,159.0
BOEING 737,BOEING,1988-03-18,0.0,0.0,0.0,123.0
BOEING 737,BOEING,1988-06-26,0.0,0.0,0.0,106.0
BOEING 737,BOEING,1997-02-15,0.0,0.0,0.0,63.0
BOEING 737,BOEING,1998-03-24,0.0,0.0,0.0,0.0
BOEING 737,BOEING,1998-12-08,0.0,0.0,0.0,52.0
BOEING 737,BOEING,1999-05-25,0.0,0.0,0.0,76.0
BOEING 737,BOEING,2002-02-11,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2003-10-04,0.0,0.0,0.0,76.0
BOEING 737,BOEING,2004-05-19,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2006-02-13,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2006-09-12,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2007-07-05,0.0,0.0,0.0,58.0
BOEING 737,BOEING,2007-09-23,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2008-02-03,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2008-06-27,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2008-07-23,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2008-08-24,65.0,65.0,0.0,0.0
BOEING 737,BOEING,2008-10-01,0.0,0.0,0.0,133.0
BOEING 737,BOEING,2008-10-16,0.0,0.0,0.0,55.0
BOEING 737,BOEING,2008-10-18,0.0,0.0,0.0,189.0
BOEING 737,BOEING,2008-10-28,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2008-12-31,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2009-01-12,0.0,0.0,0.0,4.0
BOEING 737,BOEING,2009-02-27,0.0,0.0,0.0,131.0
BOEING 737,BOEING,2009-04-27,0.0,0.0,0.0,112.0
BOEING 737,BOEING,2009-04-29,7.0,7.0,0.0,0.0
BOEING 737,BOEING,2009-05-02,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2009-05-13,0.0,0.0,0.0,51.0
BOEING 737,BOEING,2009-06-12,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2009-06-14,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2009-07-13,0.0,0.0,0.0,131.0
BOEING 737,BOEING,2009-07-17,0.0,0.0,1.0,2.0
BOEING 737,BOEING,2009-08-10,0.0,0.0,0.0,153.0
BOEING 737,BOEING,2009-08-21,0.0,0.0,0.0,2.0
BOEING 737,BOEING,2009-09-08,0.0,0.0,0.0,142.0
BOEING 737,BOEING,2009-09-24,0.0,0.0,0.0,2.0
BOEING 737,BOEING,2009-09-29,0.0,0.0,0.0,171.0
BOEING 737,BOEING,2009-10-02,0.0,0.0,0.0,149.0
BOEING 737,BOEING,2009-10-19,0.0,0.0,0.0,102.0
BOEING 737,BOEING,2009-10-19,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2009-10-22,0.0,0.0,0.0,6.0
BOEING 737,BOEING,2009-10-30,0.0,0.0,0.0,56.0
BOEING 737,BOEING,2010-01-03,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2010-01-04,0.0,0.0,0.0,148.0
BOEING 737,BOEING,2010-01-19,0.0,0.0,0.0,209.0
BOEING 737,BOEING,2010-01-25,90.0,90.0,0.0,0.0
BOEING 737,BOEING,2010-02-08,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2010-02-13,0.0,0.0,0.0,125.0
BOEING 737,BOEING,2010-03-01,0.0,0.0,0.0,146.0
BOEING 737,BOEING,2010-04-13,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2010-05-08,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2010-05-22,158.0,158.0,7.0,1.0
BOEING 737,BOEING,2010-06-06,0.0,0.0,0.0,162.0
BOEING 737,BOEING,2010-06-07,0.0,0.0,1.0,167.0
BOEING 737,BOEING,2010-06-19,0.0,0.0,0.0,5.0
BOEING 737,BOEING,2010-07-22,0.0,0.0,0.0,96.0
BOEING 737,BOEING,2010-07-23,0.0,0.0,0.0,6.0
BOEING 737,BOEING,2010-08-16,1.0,1.0,17.0,42.0
BOEING 737,BOEING,2010-08-20,0.0,0.0,0.0,6.0
BOEING 737,BOEING,2010-08-23,0.0,0.0,1.0,0.0
BOEING 737,BOEING,2010-09-20,0.0,0.0,0.0,6.0
BOEING 737,BOEING,2010-10-02,0.0,0.0,0.0,173.0
BOEING 737,BOEING,2010-10-29,0.0,0.0,0.0,142.0
BOEING 737,BOEING,2010-11-04,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2010-12-13,0.0,0.0,0.0,132.0
BOEING 737,BOEING,2010-12-25,0.0,0.0,0.0,122.0
BOEING 737,BOEING,2011-01-10,0.0,0.0,0.0,2.0
BOEING 737,BOEING,2011-01-14,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2011-02-14,0.0,0.0,0.0,216.0
BOEING 737,BOEING,2011-02-15,0.0,0.0,0.0,226.0
BOEING 737,BOEING,2011-02-21,0.0,0.0,0.0,110.0
BOEING 737,BOEING,2011-03-13,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2011-04-01,0.0,0.0,0.0,120.0
BOEING 737,BOEING,2011-04-18,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2011-04-25,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2011-05-06,0.0,0.0,0.0,2.0
BOEING 737,BOEING,2011-05-14,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2011-05-21,0.0,0.0,0.0,2.0
BOEING 737,BOEING,2011-05-26,0.0,0.0,0.0,5.0
BOEING 737,BOEING,2011-07-11,0.0,0.0,1.0,0.0
BOEING 737,BOEING,2011-07-21,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2011-07-26,0.0,0.0,0.0,144.0
BOEING 737,BOEING,2011-07-30,0.0,0.0,1.0,161.0
BOEING 737,BOEING,2011-08-20,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2011-09-06,0.0,0.0,0.0,115.0
BOEING 737,BOEING,2011-09-10,0.0,0.0,0.0,136.0
BOEING 737,BOEING,2011-10-10,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2011-12-04,0.0,0.0,0.0,0.0
BOEING 737,BOEING,2011-12-20,0.0,0.0,0.0,133.0
BOEING 737,BOEING,2012-01-09,0.0,0.0,0.0,118.0
BOEING 737,BOEING,2012-02-06,0.0,0.0,0.0,175.0
BOEING 737,BOEING,2012-02-07,0.0,0.0,0.0,131.0
BOEING 737,BOEING,2012-02-11,0.0,0.0,0.0,0.0
