Make,Model,per.Accident.Uninjured,per.A.Minor.Injuries,per.A.Serious.Injuries,per.Accident.Deaths,Aircraft.Accidents,Aircraft.Observations,per.Accident.Severity,Total.Severity,Total.Aircraft.Deaths,Accident.Rate,Mortality.Rate,Survival.Rate,Aircraft
BOEING,737,52.02658486707566,0.18609406952965235,2.756646216768916,2.756646216768916,135,489,22.23926380368098,3002.3006134969323,372.14723926380367,0.27607361963190186,0.04775400311747202,0.952245996882528,BOEING 737
PIPER,PA-31-350,2.125,0.31785714285714284,0.8464285714285714,0.8464285714285714,259,280,7.089285714285714,1836.125,219.225,0.925,0.20466321243523314,0.7953367875647669,PIPER PA-31-350
PIPER,PA-34-200T,1.5700934579439252,0.24766355140186916,0.6822429906542056,0.6822429906542056,204,214,5.705607476635514,1163.943925233645,139.17757009345794,0.9532710280373832,0.2143906020558003,0.7856093979441997,PIPER PA-34-200T
BEECH,58,1.2355371900826446,0.11570247933884298,0.8966942148760331,0.8966942148760331,231,242,7.289256198347108,1683.8181818181818,207.13636363636363,0.9545454545454546,0.28515111695137974,0.7148488830486203,BEECH 58
CESSNA,172RG,1.3877551020408163,0.19591836734693877,0.3836734693877551,0.3836734693877551,237,245,3.2653061224489797,773.8775510204082,90.93061224489796,0.9673469387755103,0.16319444444444445,0.8368055555555556,CESSNA 172RG
CESSNA,172S,1.1293800539083558,0.1078167115902965,0.21024258760107817,0.21024258760107817,361,371,1.789757412398922,646.1024258760108,75.89757412398922,0.9730458221024259,0.12682926829268293,0.8731707317073171,CESSNA 172S
CESSNA,177RG,1.1483050847457628,0.3050847457627119,0.4110169491525424,0.4110169491525424,230,236,3.593220338983051,826.4406779661017,94.53389830508475,0.9745762711864406,0.18063314711359404,0.819366852886406,CESSNA 177RG
MOONEY,M20C,1.0943396226415094,0.3443396226415094,0.4386792452830189,0.4386792452830189,207,212,3.8537735849056602,797.7311320754717,90.80660377358491,0.9764150943396226,0.18940936863543786,0.8105906313645621,MOONEY M20C
CESSNA,185,2.050179211469534,0.21863799283154123,0.24014336917562723,0.24014336917562723,273,279,2.139784946236559,584.1612903225806,65.55913978494624,0.978494623655914,0.08735332464146027,0.9126466753585397,CESSNA 185
MOONEY,M20J,0.9965156794425087,0.2857142857142857,0.5574912891986062,0.5574912891986062,281,287,4.7456445993031355,1333.526132404181,156.65505226480835,0.9790940766550522,0.23255813953488372,0.7674418604651163,MOONEY M20J
CESSNA,206,1.9027777777777777,0.3333333333333333,0.4537037037037037,0.4537037037037037,212,216,3.962962962962963,840.1481481481482,96.18518518518519,0.9814814814814815,0.14432989690721648,0.8556701030927836,CESSNA 206
PIPER,PA28,0.96415770609319,0.17204301075268819,0.4336917562724014,0.4336917562724014,274,279,3.6415770609319,997.7921146953405,118.831541218638,0.982078853046595,0.21645796064400716,0.7835420393559929,PIPER PA28
PIPER,PA-23-250,1.144694533762058,0.3022508038585209,0.8038585209003215,0.8038585209003215,306,311,6.733118971061093,2060.3344051446943,245.98070739549837,0.9839228295819936,0.2631578947368421,0.736842105263158,PIPER PA-23-250
PIPER,PA-28R-200,1.2035928143712575,0.23652694610778444,0.5718562874251497,0.5718562874251497,329,334,4.811377245508982,1582.9431137724553,188.14071856287424,0.9850299401197605,0.22132097334878334,0.7786790266512167,PIPER PA-28R-200
CESSNA,182P,1.0338028169014084,0.39436619718309857,0.37746478873239436,0.37746478873239436,350,355,3.4140845070422534,1194.9295774647887,132.11267605633802,0.9859154929577465,0.1729032258064516,0.8270967741935484,CESSNA 182P
ROBINSON,R44,0.7116104868913857,0.2958801498127341,0.9288389513108615,0.9288389513108615,264,267,7.726591760299626,2039.8202247191011,245.21348314606743,0.9887640449438202,0.32418300653594767,0.6758169934640523,ROBINSON R44
BEECH,A36,1.1050119331742243,0.26968973747016706,0.7732696897374701,0.7732696897374701,415,419,6.455847255369928,2679.1766109785203,320.9069212410501,0.9904534606205251,0.2647058823529411,0.7352941176470589,BEECH A36
PIPER,PA-30,1.463302752293578,0.16972477064220184,0.536697247706422,0.536697247706422,216,218,4.463302752293578,964.0733944954129,115.92660550458716,0.9908256880733946,0.19830508474576272,0.8016949152542373,PIPER PA-30
CESSNA,182,1.2807283763277693,0.2746585735963581,0.330804248861912,0.330804248861912,653,659,2.921092564491654,1907.47344461305,216.01517450682854,0.9908952959028832,0.14921286789869953,0.8507871321013005,CESSNA 182
PIPER,J3C-65,0.8407079646017699,0.21238938053097345,0.22566371681415928,0.22566371681415928,224,226,2.017699115044248,451.9646017699115,50.54867256637168,0.9911504424778761,0.15,0.85,PIPER J3C-65
HUGHES,369D,1.6238938053097345,0.3805309734513274,0.25663716814159293,0.25663716814159293,224,226,2.433628318584071,545.1327433628319,57.48672566371682,0.9911504424778761,0.10193321616871706,0.8980667838312829,HUGHES 369D
