Make,Model,per.Accident.Uninjured,per.A.Minor.Injuries,per.A.Serious.Injuries,per.Accident.Deaths,Aircraft.Accidents,Aircraft.Observations,per.Accident.Severity,Total.Severity,Total.Aircraft.Deaths,Accident.Rate,Mortality.Rate,Survival.Rate
BOEING,747-4F6B,699.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,747-SP,699.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
MCDONNELL DOUGLAS,MD 83,501.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,747-243B,459.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,777-281,450.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,777-22B,450.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
AIRBUS,A340 - 300,397.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,747-236B,375.0,11.0,0.0,0.0,1,1,11.0,11.0,0.0,1.0,0.0,1.0
BOEING,747-236,371.0,11.0,0.0,0.0,1,1,11.0,11.0,0.0,1.0,0.0,1.0
BOEING,747-238,361.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,747-136,358.3333333333333,7.0,0.0,0.0,4,6,7.0,28.0,0.0,0.6666666666666666,0.0,1.0
BOEING,757-351,352.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,1.0
BOEING,747-256,349.0,35.0,0.0,0.0,1,1,35.0,35.0,0.0,1.0,0.0,1.0
BOEING,767-323ER,330.5,10.5,0.0,0.0,1,2,10.5,10.5,0.0,0.5,0.0,1.0
LOCKHEED,L1011-385-1,314.5,11.5,0.0,0.0,2,2,11.5,23.0,0.0,1.0,0.0,1.0
BOEING,747-422,314.1666666666667,3.5833333333333335,0.0,0.0,8,12,3.5833333333333335,28.666666666666668,0.0,0.6666666666666666,0.0,1.0
