Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Model,Mean.Fatalities.per.Accident,Accident.Severity
CESSNA 152II,37,36,0.0,0.0,6.0,43.0,CESSNA,152II,0.0,Low
LET BLANIK L-13,34,34,0.0,0.0,6.0,38.0,LET,BLANIK L-13,0.0,Low
BOEING A75N1(PT17),29,29,0.0,0.0,8.0,39.0,BOEING,A75N1(PT17),0.0,Low
CESSNA 185E,28,28,0.0,0.0,9.0,42.0,CESSNA,185E,0.0,Low
CONSOLIDATED AERONAUTICS INC. LAKE LA-4-200,25,25,0.0,0.0,10.0,16.0,CONSOLIDATED AERONAUTICS INC.,LAKE LA-4-200,0.0,Low
PIPER PA 18,23,23,0.0,0.0,2.0,25.0,PIPER,PA 18,0.0,Low
PIPER PA 28,22,22,0.0,0.0,8.0,28.0,PIPER,PA 28,0.0,Low
EVEKTOR-AEROTECHNIK AS SPORTSTAR,21,21,0.0,0.0,2.0,25.0,EVEKTOR-AEROTECHNIK AS,SPORTSTAR,0.0,Low
SCHWEIZER SGS-2-33A,20,20,0.0,0.0,6.0,20.0,SCHWEIZER,SGS-2-33A,0.0,Low
AVIAT AIRCRAFT INC A-1B,20,20,0.0,0.0,2.0,21.0,AVIAT AIRCRAFT INC,A-1B,0.0,Low
