Make,Model,per.Accident.Uninjured,per.A.Minor.Injuries,per.A.Serious.Injuries,per.Accident.Deaths,Aircraft.Accidents,Aircraft.Observations,per.Accident.Severity,Total.Severity,Total.Aircraft.Deaths,Accident.Rate,Mortality.Rate,Survival.Rate,Aircraft
BOEING,737-200,50.283018867924525,1.320754716981132,17.09433962264151,17.09433962264151,35,53,138.0754716981132,4832.641509433962,598.3018867924528,0.660377358490566,0.19925225423356058,0.8007477457664394,BOEING 737-200
BOEING,777 - 206,0.0,0.0,178.0,178.0,3,3,1424.0,4272.0,534.0,1.0,0.5,0.5,BOEING 777 - 206
CESSNA,172N,1.1607910576096303,0.293207222699914,0.36801375752364573,0.36801375752364573,1160,1163,3.23731728288908,3755.288048151333,426.89595872742905,0.9974204643164231,0.16804083235178643,0.8319591676482135,CESSNA 172N
CESSNA,172,1.2835139760410725,0.22304620650313747,0.22703936109526526,0.22703936109526526,1744,1753,2.0393610952652597,3556.645750142613,395.9566457501426,0.9948659440958357,0.11579866162350885,0.8842013383764912,CESSNA 172
CESSNA,152,0.9991546914623838,0.1779374471682164,0.16483516483516483,0.16483516483516483,2348,2366,1.4966187658495351,3514.0608622147083,387.032967032967,0.9923922231614539,0.1093969144460028,0.8906030855539973,CESSNA 152
PIPER,PA-28-181,1.2155009451795842,0.34782608695652173,0.718336483931947,0.718336483931947,525,529,6.094517958412098,3199.6219281663516,377.1266540642722,0.9924385633270322,0.23944549464398235,0.7605545053560177,PIPER PA-28-181
BOEING,737,52.02658486707566,0.18609406952965235,2.756646216768916,2.756646216768916,135,489,22.23926380368098,3002.3006134969323,372.14723926380367,0.27607361963190186,0.04775400311747202,0.952245996882528,BOEING 737
PIPER,PA-28-140,0.9055793991416309,0.4366952789699571,0.3444206008583691,0.3444206008583691,929,932,3.1920600858369097,2965.4238197424893,319.9667381974249,0.9967811158798283,0.16957210776545165,0.8304278922345484,PIPER PA-28-140
TUPOLEV,TU-154,0.0,0.0,349.0,349.0,1,1,2792.0,2792.0,349.0,1.0,0.5,0.5,TUPOLEV TU-154
BOEING,747-168,0.0,0.0,349.0,349.0,1,1,2792.0,2792.0,349.0,1.0,0.5,0.5,BOEING 747-168
BEECH,A36,1.1050119331742243,0.26968973747016706,0.7732696897374701,0.7732696897374701,415,419,6.455847255369928,2679.1766109785203,320.9069212410501,0.9904534606205251,0.2647058823529411,0.7352941176470589,BEECH A36
BOEING,767-200ER,67.75,0.0,73.75,73.75,4,4,590.0,2360.0,295.0,1.0,0.3426248548199768,0.6573751451800232,BOEING 767-200ER
PIPER,PA-28-180,1.0454545454545454,0.30594405594405594,0.4632867132867133,0.4632867132867133,571,572,4.0122377622377625,2290.9877622377626,264.5367132867133,0.9982517482517482,0.2033768227168074,0.7966231772831927,PIPER PA-28-180
BELL,206B,1.12015503875969,0.42248062015503873,0.4786821705426357,0.4786821705426357,514,516,4.251937984496124,2185.4961240310076,246.04263565891475,0.9961240310077519,0.19147286821705428,0.8085271317829457,BELL 206B
CESSNA,172M,1.3721804511278195,0.30952380952380953,0.30451127819548873,0.30451127819548873,793,798,2.745614035087719,2177.271929824561,241.47744360902257,0.993734335839599,0.13293216630196936,0.8670678336980306,CESSNA 172M
AIRBUS INDUSTRIE,A300B4-605R,91.0,6.666666666666667,88.66666666666667,88.66666666666667,3,3,716.0,2148.0,266.0,1.0,0.32242424242424245,0.6775757575757575,AIRBUS INDUSTRIE A300B4-605R
CESSNA,172P,1.2438316400580551,0.3062409288824383,0.3454281567489115,0.3454281567489115,685,689,3.06966618287373,2102.7213352685053,236.61828737300436,0.9941944847605225,0.15414507772020725,0.8458549222797928,CESSNA 172P
PIPER,PA-23-250,1.144694533762058,0.3022508038585209,0.8038585209003215,0.8038585209003215,306,311,6.733118971061093,2060.3344051446943,245.98070739549837,0.9839228295819936,0.2631578947368421,0.736842105263158,PIPER PA-23-250
ROBINSON,R44,0.7116104868913857,0.2958801498127341,0.9288389513108615,0.9288389513108615,264,267,7.726591760299626,2039.8202247191011,245.21348314606743,0.9887640449438202,0.32418300653594767,0.6758169934640523,ROBINSON R44
BOEING,MD-82,78.125,2.25,50.375,50.375,5,8,405.25,2026.25,251.875,0.625,0.2781228433402346,0.7218771566597654,BOEING MD-82
