Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Mean.Fatalities.per.Accident
AIRBUS A330,34,10,331.0,331.0,24.0,3164.0,AIRBUS,33.1
BOEING 737-200,53,35,906.0,906.0,70.0,2665.0,BOEING,25.885714285714286
BOEING 757-200,21,12,254.0,254.0,18.0,2636.0,BOEING,21.166666666666668
AIRBUS A320,85,16,283.0,283.0,13.0,3324.0,AIRBUS,17.6875
BOEING 737-800,33,11,154.0,154.0,4.0,2069.0,BOEING,14.0
MCDONNELL DOUGLAS DC-9-82,31,12,158.0,158.0,12.0,3560.0,MCDONNELL DOUGLAS,13.166666666666666
BOEING 737-400,30,15,165.0,165.0,25.0,1711.0,BOEING,11.0
BOEING 737,489,135,1348.0,1348.0,91.0,25441.0,BOEING,9.985185185185186
MCDONNELL DOUGLAS DC-9-31,17,11,109.0,109.0,38.0,1136.0,MCDONNELL DOUGLAS,9.909090909090908
MCDONNELL DOUGLAS DC-10-10,36,12,111.0,111.0,280.0,6248.0,MCDONNELL DOUGLAS,9.25
BOEING 727,27,14,82.0,82.0,18.0,2425.0,BOEING,5.857142857142857
BOEING 737-300,51,29,167.0,167.0,109.0,4045.0,BOEING,5.758620689655173
BOEING 747-400,29,17,83.0,83.0,41.0,6260.0,BOEING,4.882352941176471
BOEING 767,68,29,128.0,128.0,30.0,6365.0,BOEING,4.413793103448276
DE HAVILLAND DHC-6-300,23,20,76.0,76.0,19.0,198.0,DE HAVILLAND,3.8
BEECH 1900,23,17,62.0,62.0,1.0,139.0,BEECH,3.6470588235294117
MCDONNELL DOUGLAS MD-82,28,12,36.0,36.0,203.0,2252.0,MCDONNELL DOUGLAS,3.0
ISRAEL AIRCRAFT INDUSTRIES 1124A,13,11,33.0,33.0,1.0,47.0,ISRAEL AIRCRAFT INDUSTRIES,3.0
BEECH 1900C,39,26,65.0,65.0,5.0,268.0,BEECH,2.5
PILATUS PC-12/45,11,11,27.0,27.0,2.0,29.0,PILATUS,2.4545454545454546
